! NAME [16] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.0018158,4.90E-08,9,0.039172,-50.13356,14.97842,-0.1979,0.80327
1.78E-04,5.58E-06,10,0.039204,-29.56117,15.49435,-0.1982,0.90387
-1.95E-04,-1.51E-05,11,0.039208,-25.22827,15.9431,-0.19849,1.00215
-3.28E-04,1.01E-05,12,0.039164,-26.95495,16.35493,-0.19869,1.10307
-1.16E-06,8.64E-06,13,0.039142,-27.6542,16.72964,-0.19869,1.20315
3.88E-04,2.45E-06,14,0.039164,-33.13667,17.08265,-0.19839,1.30429
9.95E-04,-2.04E-05,15,0.039221,-23.94874,17.41248,-0.19731,1.40519
0.0012769,-1.98E-05,16,0.039363,-24.06528,17.72559,-0.19771,1.50477
0.0018083,7.28E-06,17,0.039475,-28.39463,18.01766,-0.19869,1.60487
0.0026122,1.48E-06,18,0.039724,-35.31064,18.3061,-0.19878,1.70436
0.0028063,1.25E-06,19,0.039997,-36.0613,18.58389,-0.19829,1.80452
0.0028754,-7.73E-06,20,0.040283,-28.12752,18.84761,-0.19918,1.90386
0.0028079,-1.99E-05,21,0.04057,-24.0291,19.10042,-0.19859,2.00373
0.0024795,-9.16E-06,22,0.040845,-27.40246,19.34115,-0.19859,2.10369
0.0022669,1.94E-05,23,0.041064,-24.14848,19.5649,-0.19878,2.20306
0.0020666,-1.68E-05,24,0.041298,-24.75844,19.78312,-0.19878,2.3035
0.0015285,-1.16E-05,25,0.041477,-26.40277,19.98442,-0.1981,2.40237
8.24E-04,-1.52E-05,26,0.041601,-25.18648,20.17464,-0.19888,2.50241
3.64E-04,-8.02E-07,27,0.041641,-37.98304,20.34901,-0.19839,2.60241
2.36E-04,-5.17E-06,28,0.041674,-29.88305,20.5169,-0.19859,2.70286
7.06E-05,-2.12E-06,29,0.041689,-33.77616,20.67699,-0.198,2.80336
1.85E-04,-7.26E-06,30,0.041688,-28.41851,20.82813,-0.1982,2.90268
2.62E-04,-1.71E-05,31,0.041726,-24.68771,20.97923,-0.19839,3.00274
5.12E-04,1.75E-06,32,0.041741,-34.58299,21.12211,-0.19869,3.10207
6.88E-04,-9.00E-06,33,0.041828,-27.46589,21.26945,-0.19908,3.20239
3.41E-04,-2.29E-05,34,0.041878,-23.43964,21.40753,-0.1982,3.30189
4.07E-04,-1.71E-05,35,0.041896,-24.72473,21.53921,-0.19761,3.40209
7.21E-04,-8.85E-06,36,0.04196,-27.55584,21.67174,-0.19839,3.50219
9.52E-04,-8.19E-06,37,0.04204,-27.9043,21.80154,-0.1978,3.60156
0.0012483,1.27E-05,38,0.04215,-26.00654,21.93199,-0.1981,3.7017
0.0010736,4.75E-07,39,0.042288,-40.26428,22.06057,-0.1981,3.80047
0.0013934,9.10E-06,40,0.042363,-27.4291,22.18089,-0.19859,3.90035
0.0019091,-3.28E-06,41,0.042565,-31.8902,22.31042,-0.19741,3.99937
0.0017421,-4.05E-06,42,0.042743,-30.94916,22.43605,-0.19839,4.09958
0.0018106,-7.11E-06,43,0.042914,-28.5159,22.55837,-0.198,4.19988
0.0025483,-1.81E-06,44,0.043104,-34.45924,22.67858,-0.1981,4.29877
0.0018454,-2.85E-05,45,0.043422,-22.49322,22.81032,-0.19761,4.39873
7.57E-04,-1.33E-05,46,0.043472,-25.78957,22.91216,-0.19771,4.49785
7.98E-04,-2.89E-06,47,0.043573,-32.40356,23.01793,-0.19888,4.5981
6.04E-04,-1.98E-05,48,0.043632,-24.05668,23.11736,-0.1981,4.69819
7.47E-04,-1.92E-06,49,0.043693,-34.17842,23.21433,-0.19859,4.79756
8.78E-04,-3.05E-06,50,0.043781,-32.18103,23.31305,-0.19869,4.89797
,,,,,,,
! NAME [16] IV - Input = -0.3 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.10786,-1.19E-05,0,-8.34E-04,-24.47098,-22.18168,-0.29906,-0.007252
0.099027,-6.02E-06,1,0.0071046,-27.45503,-3.2658,-0.29827,0.066356
0.078958,-1.14E-05,2,0.014803,-24.66211,3.51301,-0.29876,0.15169
0.056015,-1.42E-06,3,0.020805,-33.71653,6.98956,-0.29906,0.24032
0.035366,9.78E-07,4,0.024853,-35.34478,9.16047,-0.29866,0.33164
0.019848,-2.92E-05,5,0.027377,-20.58315,10.68045,-0.29906,0.42722
0.010446,5.12E-06,6,0.028664,-28.15374,11.76754,-0.29896,0.5241
0.0058836,-1.46E-05,7,0.029414,-23.60505,12.62755,-0.29837,0.62259
0.0028327,-2.47E-06,8,0.029825,-31.33285,13.32765,-0.29847,0.72142
0.0013839,-1.84E-05,9,0.029975,-22.6123,13.91344,-0.29837,0.82145
0.00121,-6.88E-06,10,0.030102,-26.88052,14.43168,-0.29827,0.92167
0.0013207,-1.57E-05,11,0.030216,-23.29227,14.88966,-0.29925,1.0203
0.0014924,-1.86E-05,12,0.030365,-22.55408,15.31822,-0.29925,1.1206
0.0022972,5.50E-06,13,0.030514,-27.83996,15.70906,-0.29876,1.22012
0.0030713,-1.48E-05,14,0.030826,-23.55211,16.09784,-0.29886,1.32089
0.0034663,-1.16E-05,15,0.031132,-24.62257,16.45885,-0.29847,1.42127
0.0039999,-2.27E-05,16,0.031515,-21.68953,16.80361,-0.29857,1.51998
0.0042492,-9.27E-06,17,0.031929,-25.56696,17.13821,-0.29925,1.62045
0.0046318,7.09E-06,18,0.032362,-26.73744,17.45358,-0.29896,1.7192
0.0041714,-7.46E-06,19,0.032849,-26.50463,17.76378,-0.29994,1.81908
0.0031952,-3.63E-06,20,0.033192,-29.63683,18.03897,-0.29984,1.91807
0.0024285,-1.07E-05,21,0.033485,-24.96917,18.29754,-0.29857,2.01795
0.0016114,-5.79E-06,22,0.033677,-27.61704,18.53222,-0.29886,2.11782
5.47E-04,-3.97E-06,23,0.033806,-29.25874,18.7484,-0.29847,2.21741
-1.72E-04,-6.02E-06,24,0.033786,-27.44078,18.93807,-0.29925,2.31779
-4.86E-04,-7.10E-05,25,0.033772,-16.75682,19.11929,-0.29729,2.41757
-5.16E-04,-7.15E-06,26,0.033688,-26.70612,19.28565,-0.29876,2.51819
-6.64E-04,-2.19E-05,27,0.033668,-21.83797,19.4515,-0.29925,2.61779
-7.76E-04,-7.38E-06,28,0.033554,-26.56167,19.60134,-0.29915,2.71886
-1.58E-04,-1.93E-05,29,0.033511,-22.37664,19.75406,-0.29925,2.8198
-2.03E-04,-1.36E-05,30,0.033522,-23.88958,19.90613,-0.29925,2.91932
-2.59E-04,-9.39E-06,31,0.03347,-25.5315,20.0457,-0.29798,3.01933
9.38E-04,-5.91E-06,32,0.03347,-27.5238,20.18654,-0.29935,3.11885
0.0013115,-1.00E-05,33,0.033658,-25.2343,20.34793,-0.29935,3.21889
8.14E-04,2.22E-06,34,0.033732,-31.78109,20.48918,-0.29945,3.318
6.37E-04,-9.39E-06,35,0.03382,-25.52437,20.62965,-0.29847,3.41813
5.37E-04,5.50E-06,36,0.03386,-27.83569,20.76069,-0.29906,3.51873
7.23E-04,-8.81E-06,37,0.033927,-25.79556,20.88967,-0.29886,3.61761
7.87E-04,-5.56E-06,38,0.034004,-27.7903,21.01796,-0.29915,3.71767
5.12E-04,-9.31E-06,39,0.034084,-25.55016,21.14252,-0.29915,3.81684
5.26E-04,-1.46E-06,40,0.034105,-33.59908,21.25781,-0.29925,3.91704
6.97E-04,-1.21E-05,41,0.034188,-24.43755,21.37656,-0.29847,4.01588
5.41E-04,-6.64E-06,42,0.034244,-27.02738,21.49125,-0.29847,4.11658
6.02E-04,-7.03E-06,43,0.034297,-26.77434,21.60217,-0.29896,4.21662
7.67E-04,2.41E-06,44,0.034365,-31.42411,21.71226,-0.29906,4.31633
7.03E-04,-6.72E-06,45,0.03445,-26.96529,21.82228,-0.29925,4.41612
5.76E-04,2.45E-06,46,0.034505,-31.34157,21.926,-0.29994,4.51565
3.93E-04,8.80E-08,47,0.034565,-45.79907,22.02929,-0.29896,4.61626
5.25E-04,3.11E-06,48,0.034584,-30.31051,22.12476,-0.29974,4.71632
0.0010866,-1.58E-06,49,0.03467,-33.26682,22.22606,-0.29925,4.81567
0.0013095,-3.38E-05,50,0.034801,-19.97375,22.33204,-0.29798,4.91601
,,,,,,,
! NAME [16] IV - Input = -0.4 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.088566,1.06E-06,0,-7.20E-04,-33.76485,-22.73016,-0.39835,-0.007405
0.078643,2.33E-06,1,0.0060059,-30.31795,-3.85477,-0.39854,0.06854
0.056415,-2.81E-05,2,0.01208,-19.52258,2.77687,-0.39756,0.1569
0.03467,-1.44E-07,3,0.016158,-42.40734,6.05243,-0.39894,0.24937
0.019047,-4.36E-06,4,0.018544,-27.58871,8.04646,-0.39952,0.34391
0.010106,-3.01E-06,5,0.019804,-29.22032,9.42101,-0.39796,0.44192
0.0061535,-1.31E-05,6,0.020525,-22.82761,10.44604,-0.39796,0.53991
0.0038485,-2.18E-05,7,0.021019,-20.60674,11.28481,-0.39874,0.63955
0.0024873,-2.44E-05,8,0.02129,-20.12223,11.96444,-0.39845,0.73838
0.0027259,-6.45E-06,9,0.021512,-25.89217,12.55849,-0.39923,0.83787
0.0031488,-2.08E-05,10,0.021835,-20.79837,13.11538,-0.39923,0.93838
0.0036164,-1.64E-05,11,0.022136,-21.83433,13.60551,-0.39894,1.0362
0.0041853,-2.15E-05,12,0.022552,-20.67767,14.0864,-0.39864,1.13621
0.0049719,6.39E-06,13,0.02297,-25.93751,14.52992,-0.39854,1.23545
0.0055005,-2.17E-05,14,0.023544,-20.63986,14.97588,-0.39854,1.33568
0.0052913,-7.92E-06,15,0.02407,-25.00585,15.38406,-0.39874,1.43528
0.0049173,-1.45E-05,16,0.024594,-22.36225,15.76694,-0.39933,1.53412
0.0036171,-3.38E-05,17,0.025048,-18.70762,16.12114,-0.39884,1.63434
0.0021865,1.87E-05,18,0.025316,-21.27699,16.42255,-0.39943,1.73326
9.31E-04,-2.71E-05,19,0.025483,-19.67249,16.69497,-0.39835,1.83339
-4.25E-04,-1.70E-05,20,0.025502,-21.68982,16.9283,-0.39835,1.93309
-7.87E-04,-5.64E-06,21,0.025397,-26.48505,17.13105,-0.39845,2.03389
-0.0011995,-1.52E-05,22,0.025344,-22.18201,17.33209,-0.39825,2.13472
-9.00E-04,1.54E-05,23,0.025157,-22.1068,17.4985,-0.39854,2.23459
-2.61E-04,-7.11E-06,24,0.025164,-25.4767,17.69137,-0.39864,2.33538
-0.0010479,-2.94E-05,25,0.025105,-19.30627,17.86258,-0.39864,2.43502
-0.0010384,-3.97E-06,26,0.024954,-28.00723,18.01241,-0.39815,2.53577
-0.0011405,-1.52E-05,27,0.024896,-22.19716,18.16978,-0.39786,2.6354
