! NAME [11] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.088399,-3.84E-07,1,0.0099982,-39.38548,-7.38E-04,-0.3,0.1
0.063982,-4.36E-07,2,0.017692,-38.83392,5.48809,-0.3,0.2
0.040125,-4.95E-07,3,0.022797,-38.28272,8.34992,-0.3,0.3
0.021971,-5.49E-07,4,0.025718,-37.83304,10.12294,-0.3,0.4
0.010975,-6.07E-07,5,0.027191,-37.39692,11.33396,-0.3,0.5
0.005692,-6.69E-07,6,0.027913,-36.97453,12.23953,-0.3,0.6
0.0025399,-7.29E-07,7,0.02833,-36.60156,12.97338,-0.3,0.7
7.69E-04,-7.89E-07,8,0.028421,-36.25803,13.56728,-0.3,0.8
7.75E-04,-8.53E-07,9,0.028483,-35.91931,14.08836,-0.3,0.9
0.0011345,-9.15E-07,10,0.028576,-35.61446,14.56,-0.30001,1
0.00165,-9.80E-07,11,0.02871,-35.31654,14.99429,-0.3,1.1
0.0022925,-1.05E-06,12,0.028906,-35.03761,15.40167,-0.3,1.2
0.0029195,-1.12E-06,13,0.029169,-34.74437,15.78862,-0.3,1.3
0.003417,-1.18E-06,14,0.02949,-34.49893,16.158,-0.3,1.4
0.0037,-1.26E-06,15,0.029852,-34.23889,16.51067,-0.3,1.5
0.0037115,-1.33E-06,16,0.03023,-33.98047,16.84555,-0.3,1.6
0.003414,-1.41E-06,17,0.030595,-33.74276,17.16093,-0.3,1.7
0.00276,-1.48E-06,18,0.030913,-33.51445,17.45408,-0.3,1.8
0.0018235,-1.56E-06,19,0.031147,-33.28642,17.72163,-0.3,1.9
8.08E-04,-1.64E-06,20,0.031277,-33.07506,17.96259,-0.3,2
4.55E-05,-1.73E-06,21,0.031308,-32.85334,18.17874,-0.3,2.1
-3.22E-04,-1.81E-06,22,0.031286,-32.6616,18.37778,-0.3,2.2
-4.26E-04,-1.89E-06,23,0.031244,-32.45497,18.56489,-0.3,2.3
-4.04E-04,-1.98E-06,24,0.031201,-32.27092,18.74383,-0.3,2.4
-2.86E-04,-2.07E-06,25,0.031163,-32.07538,18.91576,-0.3,2.5
-6.90E-05,-2.16E-06,26,0.031144,-31.89029,19.08347,-0.3,2.59999
6.31E-04,-2.25E-06,27,0.031149,-31.7031,19.24808,-0.3,2.7
9.86E-04,-2.35E-06,28,0.03127,-31.51625,19.42291,-0.3,2.8
7.68E-04,-2.45E-06,29,0.031346,-31.34421,19.58584,-0.3,2.9
7.73E-04,-2.55E-06,30,0.031424,-31.1685,19.74383,-0.3,3
7.60E-04,-2.65E-06,31,0.031501,-31.00125,19.89685,-0.3,3.1
7.65E-04,-2.75E-06,32,0.031576,-30.83073,20.04506,-0.3,3.2
7.80E-04,-2.86E-06,33,0.031654,-30.67273,20.1894,-0.3,3.3
7.72E-04,-2.96E-06,34,0.031732,-30.51001,20.32974,-0.3,3.4
7.74E-04,-3.08E-06,35,0.031808,-30.3475,20.46606,-0.3,3.5
7.78E-04,-3.19E-06,36,0.031887,-30.1936,20.59909,-0.3,3.6
7.87E-04,-3.31E-06,37,0.031964,-30.02918,20.72857,-0.3,3.7
8.11E-04,-3.43E-06,38,0.032044,-29.87965,20.85529,-0.3,3.8
8.44E-04,-3.55E-06,39,0.032126,-29.72894,20.97917,-0.3,3.9
8.74E-04,-3.67E-06,40,0.032213,-29.57738,21.10086,-0.3,4
8.89E-04,-3.80E-06,41,0.0323,-29.43209,21.21992,-0.3,4.1
9.17E-04,-3.93E-06,42,0.03239,-29.28595,21.33666,-0.3,4.2
9.55E-04,-4.07E-06,43,0.032484,-29.13818,21.45135,-0.3,4.3
9.73E-04,-4.20E-06,44,0.032581,-28.99215,21.56422,-0.3,4.4
9.28E-04,-4.35E-06,45,0.032678,-28.84788,21.67473,-0.3,4.5
8.39E-04,-4.49E-06,46,0.032767,-28.70728,21.78195,-0.3,4.6
7.85E-04,-4.64E-06,47,0.032846,-28.56548,21.88582,-0.3,4.7
7.84E-04,-4.79E-06,48,0.032924,-28.42362,21.98754,-0.3,4.8
7.86E-04,-4.94E-06,49,0.033003,-28.288,22.08747,-0.3,4.9
7.83E-04,-5.10E-06,50,0.033081,-28.15138,22.1855,-0.3,5
,,,,,,,
! NAME [11] IV - Input = -0.4 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.081083,-4.39E-07,0,4.43E-06,-37.55474,-66.81204,-0.4,-4.70E-05
0.06856,-4.90E-07,1,0.0081166,-37.07745,-0.9062,-0.4,0.1
0.044,-5.40E-07,2,0.013722,-36.65545,4.3846,-0.4,0.2
0.023866,-5.98E-07,3,0.016918,-36.21237,7.05464,-0.4,0.3
0.011676,-6.52E-07,4,0.018496,-35.83688,8.69133,-0.4,0.4
0.005844,-7.13E-07,5,0.019253,-35.4485,9.83468,-0.4,0.5
0.003398,-7.68E-07,6,0.019665,-35.12579,10.71836,-0.4,0.6
0.002306,-8.28E-07,7,0.019933,-34.79909,11.44662,-0.4,0.7
0.0021445,-8.88E-07,8,0.020126,-34.49525,12.06843,-0.4,0.8
0.002648,-9.49E-07,9,0.020362,-34.20674,12.63052,-0.4,0.9
0.003287,-1.01E-06,10,0.020655,-33.93619,13.15034,-0.4,1
0.0038775,-1.08E-06,11,0.021019,-33.66532,13.64002,-0.4,1.1
0.0041825,-1.14E-06,12,0.021431,-33.41798,14.10221,-0.4,1.2
0.004097,-1.21E-06,13,0.021855,-33.16593,14.53502,-0.4,1.3
0.0035485,-1.27E-06,14,0.02225,-32.93453,14.93464,-0.4,1.4
0.002565,-1.35E-06,15,0.022565,-32.69218,15.29528,-0.4,1.5
0.0013885,-1.41E-06,16,0.022763,-32.48413,15.61356,-0.4,1.6
4.22E-04,-1.48E-06,17,0.022843,-32.268,15.89199,-0.4,1.7
-1.06E-04,-1.56E-06,18,0.022848,-32.0621,16.14115,-0.4,1.8
-3.17E-04,-1.63E-06,19,0.022822,-31.86019,16.371,-0.4,1.9
-4.16E-04,-1.70E-06,20,0.022784,-31.67236,16.58666,-0.4,2
-4.67E-04,-1.78E-06,21,0.022739,-31.48253,16.78981,-0.4,2.1
-5.27E-04,-1.85E-06,22,0.022691,-31.30065,16.98274,-0.4,2.2
-5.92E-04,-1.93E-06,23,0.022633,-31.12383,17.1647,-0.4,2.3
-1.40E-05,-2.01E-06,24,0.022573,-30.95176,17.33793,-0.4,2.4
7.65E-04,-2.09E-06,25,0.02263,-30.7821,17.52628,-0.4,2.5
9.38E-04,-2.17E-06,26,0.022726,-30.6108,17.71489,-0.4,2.6
9.42E-04,-2.25E-06,27,0.022818,-30.44985,17.89638,-0.4,2.7
9.40E-04,-2.34E-06,28,0.022914,-30.27982,18.07257,-0.4,2.8
9.20E-04,-2.43E-06,29,0.023006,-30.12155,18.24235,-0.4,2.9
8.93E-04,-2.52E-06,30,0.023098,-29.96884,18.40692,-0.4,3
8.62E-04,-2.61E-06,31,0.023184,-29.81133,18.56556,-0.4,3.1
8.58E-04,-2.70E-06,32,0.02327,-29.66576,18.71948,-0.4,3.2
8.52E-04,-2.80E-06,33,0.023356,-29.51248,18.86911,-0.4,3.3
8.47E-04,-2.89E-06,34,0.023441,-29.37041,19.01446,-0.4,3.4
8.27E-04,-2.99E-06,35,0.023525,-29.22414,19.15601,-0.4,3.5
8.31E-04,-3.09E-06,36,0.023606,-29.07982,19.29323,-0.4,3.6
8.28E-04,-3.19E-06,37,0.023691,-28.94149,19.42791,-0.4,3.7
8.20E-04,-3.30E-06,38,0.023771,-28.79821,19.55838,-0.4,3.8
8.33E-04,-3.40E-06,39,0.023855,-28.66077,19.68648,-0.4,3.89999
8.08E-04,-3.51E-06,40,0.023938,-28.52138,19.81146,-0.4,4
8.27E-04,-3.63E-06,41,0.024017,-28.38633,19.93301,-0.4,4.1
8.35E-04,-3.73E-06,42,0.024103,-28.25766,20.05324,-0.4,4.2
8.06E-04,-3.85E-06,43,0.024184,-28.12253,20.16993,-0.4,4.3
8.27E-04,-3.97E-06,44,0.024264,-27.9926,20.2842,-0.4,4.4
8.73E-04,-4.09E-06,45,0.024349,-27.86216,20.39697,-0.4,4.5
8.87E-04,-4.21E-06,46,0.024439,-27.73245,20.50838,-0.4,4.6
8.76E-04,-4.34E-06,47,0.024527,-27.60549,20.61735,-0.4,4.7
8.83E-04,-4.47E-06,48,0.024614,-27.47437,20.72423,-0.4,4.8
8.47E-04,-4.60E-06,49,0.024703,-27.35088,20.82949,-0.4,4.9
8.01E-04,-4.75E-06,50,0.024783,-27.21704,20.93129,-0.4,5
,,,,,,,
! NAME [11] IV - Input = -0.5 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.059062,-5.41E-07,0,5.52E-06,-35.67835,-82.57904,-0.5,-1.00E-06
